Date,Open,High,Low,Close,Volume
12-09-2022,3387.75,3406.26,3359.98,3397.0,110819000
13-09-2022,3424.77,3517.33,3415.51,3498.82,185487800
14-09-2022,3434.03,3480.31,3406.26,3443.28,119631200
15-09-2022,3480.31,3517.33,3443.28,3461.8,156750600
16-09-2022,3434.03,3443.28,3341.47,3369.23,167812600
19-09-2022,3424.77,3443.28,3387.75,3415.51,137396600
20-09-2022,3452.54,3471.05,3406.26,3406.26,140752200
21-09-2022,3387.75,3434.03,3369.23,3434.03,71044400
22-09-2022,3434.03,3443.28,3397.0,3406.26,96479200
23-09-2022,3406.26,3424.77,3387.75,3406.26,61877000
26-09-2022,3378.49,3471.05,3313.7,3424.77,133769600
27-09-2022,3424.77,3461.8,3406.26,3461.8,130959400
28-09-2022,3498.82,3554.36,3434.03,3443.28,133085000
29-09-2022,3461.79,3471.05,3406.26,3424.77,67945200
30-09-2022,3443.28,3489.56,3415.51,3489.56,113501000
03-10-2022,3452.54,3471.05,3415.51,3434.03,54662400
04-10-2022,3443.28,3471.05,3415.51,3415.51,90247000
05-10-2022,3443.28,3508.08,3434.03,3434.03,75891600
06-10-2022,3443.28,3452.54,3415.51,3452.54,43279200
07-10-2022,3452.54,3489.56,3434.03,3489.56,51267000
10-10-2022,3471.05,3480.31,3434.03,3443.28,55465000
11-10-2022,3489.56,3489.56,3424.77,3443.28,71925600
12-10-2022,3471.05,3517.33,3443.28,3489.56,118731400
13-10-2022,3517.33,3535.84,3452.54,3508.08,58832000
14-10-2022,3572.87,3572.87,3471.05,3480.31,106401600
17-10-2022,3498.82,3508.08,3443.28,3498.82,60905200
18-10-2022,3517.33,3545.1,3498.82,3517.33,67904400
19-10-2022,3471.05,3545.1,3452.54,3508.08,71544800
20-10-2022,3461.8,3674.69,3461.8,3665.43,102422400
21-10-2022,3702.45,3869.07,3674.69,3832.04,183987800
24-10-2022,3822.78,3887.58,3795.02,3795.02,102168000
25-10-2022,3804.27,3869.06,3785.76,3785.76,83305200
26-10-2022,3785.76,3795.02,3702.45,3776.5,80531400
27-10-2022,3776.5,3822.78,3720.97,3776.5,84531200
28-10-2022,3748.74,3785.76,3739.48,3776.5,102437400
31-10-2022,3813.53,3906.09,3785.76,3906.09,173874600
01-11-2022,3924.6,3924.6,3785.76,3850.55,111898000
02-11-2022,3841.3,3850.55,3693.2,3730.22,127515400
03-11-2022,3683.94,3776.5,3683.94,3767.25,119598600
04-11-2022,3711.71,3757.99,3702.45,3757.99,70781200
07-11-2022,3767.25,3795.02,3702.45,3795.02,98034400
08-11-2022,3804.27,3804.27,3730.22,3757.99,39585800
09-11-2022,3720.97,3757.99,3720.97,3757.99,68010400
10-11-2022,3720.97,3757.99,3702.45,3739.48,61964000
11-11-2022,3813.53,3869.06,3785.76,3859.81,102008200
14-11-2022,3906.09,3906.09,3757.99,3795.02,61055200
15-11-2022,3813.53,3813.53,3739.48,3795.02,83000800
16-11-2022,3739.48,3767.25,3665.43,3702.45,128257800
17-11-2022,3646.92,3711.71,3646.92,3665.43,167562600
18-11-2022,3683.94,3785.76,3674.69,3767.25,111646200
21-11-2022,3767.25,3776.5,3711.71,3739.48,52311600
22-11-2022,3720.97,3795.02,3720.97,3748.74,79850600
23-11-2022,3748.74,3813.53,3748.74,3776.5,78250600
24-11-2022,3785.76,3813.53,3776.5,3785.76,59701400
25-11-2022,3785.76,3785.76,3739.48,3767.25,77984800
28-11-2022,3767.25,3804.27,3748.74,3748.74,64779000
29-11-2022,3795.02,3869.07,3776.5,3822.78,72261000
30-11-2022,3822.78,3998.65,3822.78,3896.83,347136800
01-12-2022,3896.83,3943.11,3850.55,3850.55,141493000
02-12-2022,3850.55,3896.83,3822.78,3896.83,70811400
05-12-2022,3943.11,4072.7,3915.35,4026.42,146472800
06-12-2022,4026.42,4072.7,3970.88,4035.68,139360200
07-12-2022,3933.86,3961.63,3841.3,3841.3,200886200
08-12-2022,3730.22,3785.76,3693.2,3720.97,279908400
09-12-2022,3683.94,3720.97,3637.66,3674.69,241338200
12-12-2022,3637.66,3702.45,3619.15,3683.94,183717600
13-12-2022,3619.15,3702.45,3619.15,3665.43,224176000
14-12-2022,3730.22,3739.48,3683.94,3683.94,162689200
15-12-2022,3665.43,3711.71,3665.43,3665.43,82673400
16-12-2022,3637.66,3739.48,3637.66,3739.48,770252400
19-12-2022,3702.45,3730.22,3665.43,3702.45,100871400
20-12-2022,3702.45,3720.97,3683.94,3720.97,56633800
21-12-2022,3748.74,3748.74,3702.45,3702.45,37945200
22-12-2022,3739.48,3739.48,3683.94,3683.94,78836200
23-12-2022,3665.43,3702.45,3665.43,3674.69,38571200
26-12-2022,3693.2,3720.97,3683.94,3720.97,19578800
27-12-2022,3720.97,3720.97,3656.17,3683.94,43282000
28-12-2022,3702.45,3702.45,3646.92,3693.2,30258400
29-12-2022,3665.43,3693.2,3656.17,3693.2,56981400
30-12-2022,3702.45,3720.97,3674.69,3674.69,40655800
02-01-2023,3674.69,3693.2,3656.17,3656.17,5985400
03-01-2023,3646.92,3693.2,3646.92,3683.94,13815200
04-01-2023,3711.71,3730.22,3693.2,3711.71,38575800
05-01-2023,3720.97,3720.97,3600.64,3637.66,84945800
06-01-2023,3600.64,3628.41,3554.36,3628.41,44097000
09-01-2023,3609.89,3646.92,3554.36,3600.64,67250600
10-01-2023,3517.33,3535.84,3397.0,3434.03,214538800
11-01-2023,3359.98,3397.0,3295.18,3313.7,193915000
12-01-2023,3332.21,3498.82,3332.21,3406.26,219659400
13-01-2023,3378.49,3415.51,3350.72,3397.0,107483800
16-01-2023,3369.23,3461.79,3369.23,3443.28,145710000
17-01-2023,3480.31,3637.66,3471.05,3609.89,146238000
18-01-2023,3572.87,3619.15,3517.33,3535.84,95360600
19-01-2023,3554.36,3637.66,3526.59,3609.89,81704200
20-01-2023,3646.92,3702.45,3628.41,3693.2,93227400
24-01-2023,3646.92,3693.2,3628.41,3665.43,35028000
25-01-2023,3628.41,3646.92,3591.38,3591.38,72767800
26-01-2023,3619.15,3656.17,3609.89,3637.66,70558600
27-01-2023,3665.43,3757.99,3665.43,3711.71,216788400
30-01-2023,3711.71,3748.74,3656.17,3683.94,82589400
31-01-2023,3711.71,3739.48,3656.17,3683.94,167297000
01-02-2023,3683.94,3720.97,3582.12,3591.38,165628800
02-02-2023,3600.64,3609.89,3545.1,3600.64,99351800
03-02-2023,3609.89,3683.94,3609.89,3674.69,108125400
06-02-2023,3674.69,3720.97,3609.89,3656.17,109098400
07-02-2023,3683.94,3785.76,3665.43,3767.25,118132000
08-02-2023,3748.74,3785.76,3739.48,3776.5,75656000
09-02-2023,3813.53,3850.55,3795.02,3795.02,121757400
10-02-2023,3869.06,3869.06,3757.99,3813.53,81114600
13-02-2023,3906.09,3906.09,3795.02,3832.04,56771800
14-02-2023,3869.06,3869.06,3804.27,3841.3,39570600
15-02-2023,3813.53,3832.04,3739.48,3785.76,75595200
16-02-2023,3785.76,3804.27,3748.74,3767.25,49569000
17-02-2023,3767.25,3813.53,3739.48,3813.53,58521000
20-02-2023,3813.53,3813.53,3776.5,3804.27,40696400
21-02-2023,3813.53,3813.53,3767.25,3776.5,52604400
22-02-2023,3748.74,3767.25,3683.94,3702.45,75513400
23-02-2023,3693.2,3739.48,3674.69,3730.22,177505200
24-02-2023,3748.74,3785.76,3730.22,3748.74,54138200
27-02-2023,3730.22,3757.99,3720.97,3757.99,47901800
28-02-2023,3730.22,3757.99,3702.45,3702.45,146440400
01-03-2023,3757.99,3776.5,3720.97,3739.48,89565600
02-03-2023,3757.99,3813.53,3757.99,3785.76,72991800
03-03-2023,3776.5,3795.02,3711.71,3720.97,88630600
06-03-2023,3767.25,3785.76,3730.22,3748.74,53728800
07-03-2023,3757.99,3804.27,3748.74,3767.25,80065800
08-03-2023,3795.02,3804.27,3767.25,3804.27,104838200
09-03-2023,3850.55,3887.58,3832.04,3869.07,83286000
10-03-2023,3859.81,3859.81,3804.27,3841.3,107531000
13-03-2023,3804.27,3841.3,3785.76,3832.04,92827600
14-03-2023,3776.5,3804.27,3646.92,3674.69,191898400
15-03-2023,3720.97,3767.25,3646.92,3720.97,262828600
16-03-2023,3730.22,3730.22,3637.66,3646.92,135467400
17-03-2023,3683.94,3748.74,3674.69,3739.48,224171600
20-03-2023,3720.97,3739.48,3702.45,3702.45,46333000
21-03-2023,3739.48,3887.58,3730.22,3887.58,131331000
24-03-2023,3933.86,4054.19,3915.35,4035.68,222156200
27-03-2023,4047.09,4056.82,3969.26,3969.26,151825600
28-03-2023,3969.26,3998.45,3930.35,3940.08,103951000
29-03-2023,3988.72,4037.36,3969.26,4027.63,107454600
30-03-2023,4027.63,4047.09,3978.99,3978.99,97186200
31-03-2023,3998.45,4017.91,3969.26,4017.91,92013200
03-04-2023,4047.09,4095.73,4047.09,4095.73,101724400
04-04-2023,4086.01,4124.92,3969.26,4047.09,94482600
05-04-2023,4008.18,4086.01,4008.18,4066.55,42655500
06-04-2023,4066.55,4066.55,4008.18,4027.63,47999400
10-04-2023,4008.18,4027.63,3930.35,3969.26,74787800
11-04-2023,3969.26,3969.26,3930.35,3969.26,37744800
12-04-2023,3969.26,4066.55,3969.26,4008.18,111901500
13-04-2023,4027.63,4047.09,3988.72,3988.72,67928500
14-04-2023,4008.18,4086.01,4008.18,4066.55,142479800
